COTE	DATE	LIEU	DEPARTEMENT	DIM	TITRE	latitude	longitude	DESCRIPTION	PHOTOGRAPHE	COLLECTION	UID
43 FI 49	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	1141d3e8-ec88-4f43-9b81-3dbf4ac5edcc
43 FI 48	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vue générale du Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	14758b3b-1db4-4c98-b55c-8d7c54511ff9
43 FI 52	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	183a222f-e58a-4d72-8df0-87395a72fa8e
43 FI 62	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Rivière de l'Arguenon, vue prise du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	19cdf266-f754-42cb-9a76-5d6a1f005815
43 FI 139	s.d. [fin XIXe-1920]	Arguenon (L')	_	12 X 9	Vue générale de l'Arguenon et de l'église Saint-Sauveur.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	1b93523d-c605-4c90-b302-7b926d5926d4
43 FI 8	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	2ca886d6-00c0-4fac-9a2e-6721dc029089
43 FI 56	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	33b726cf-11de-41fe-873a-cf197cf83199
43 FI 47	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vue générale du château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	3e499339-4cfe-45f2-b013-e58b74b1be48
43 FI 50	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	491f0343-6d74-4f55-a7f4-4b3690a9d65d
43 FI 46	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vue générale du château du Guido.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	4c89d65e-79d7-41f2-b67c-e2a793a2abf9
43 FI 59	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	4d92655b-9bb1-4859-906d-f5684b7e805e
43 FI 42	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Pêcheuse sur les rives de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	5688143a-7357-4f85-ac67-140acd1460e3
43 FI 41	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vieux pont du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	56ea37b0-ee9b-4ad0-82d4-e2bdfb01cac4
43 FI 7	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	5b650e05-3d5b-4542-91bc-fdb16c69e3bb
43 FI 53	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	65e07a06-821c-44ca-97d0-95fe999701f3
43 FI 43	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Le Russie-Din sur les rives de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	702b56da-b8ba-41de-9eae-83d62d969fc3
43 FI 259	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	72d79bc1-4d38-44c0-bdb0-c7032ae43775
43 FI 4	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	767f5381-85d5-49be-9376-983e1881f8cf
43 FI 45	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Rives de l'Arguenon et château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	7e14f4c0-33cd-4506-a003-a9cb8c9fc4bc
43 FI 10	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	81638463-3a93-43ea-8965-e939b8de8391
43 FI 1	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	882a5aa9-8de3-4ea9-b07d-7b0aa84dc1b1
43 FI 3	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	aa54f077-fcf1-44b4-ba85-561ff368b065
43 FI 58	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ab01a7ed-e4d2-42c1-8b10-e941bf9b52a6
43 FI 261	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	b0636533-ae16-47f2-9cf7-264be0f12532
43 FI 2	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	be12423d-1f18-4b15-8dbc-85c05892bf7e
43 FI 9	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	cbdb7d20-f888-4339-8ce7-a3ed0f30978b
43 FI 6	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	cca2ff44-4a36-4586-b95c-997ad0d5b11d
43 FI 57	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	d50185d0-ba98-46f3-a3d9-d6c0abeb83d4
43 FI 54	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	de56576a-6232-48be-970a-1d399275fbaa
43 FI 260	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	e4ca3636-cd5d-444f-900e-73d5f7a06515
43 FI 44	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Départ du Russie-Din.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	e826ac43-9d74-4de3-9d16-34529a8a079c
43 FI 5	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ecc31a5d-7b3e-4a8e-bdaf-bc16dd4d81a0
43 FI 55	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ff63191b-b937-4d5d-b85e-288f342077b7
43 FI 525	s.d. [fin XIXe-1920]	Auray	Morbihan	12 X 9	Saint-Goustan.				DuCleuziou	Collection photographique Du Cleuziou	32d3a85b-8903-46d1-99af-a2c45bc42e57
43 FI 524	s.d. [fin XIXe-1920]	Auray	Morbihan	12 X 9	Rue (quartier de l'église Saint-Gildas).				DuCleuziou	Collection photographique Du Cleuziou	fcac25b9-ad6e-4d39-bc49-030df1075f77
19 FI 1	s.d. [1906-1936]	Bégard	_	9 X 14	Rue de l'hôtel de ville.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	2aa37774-a5e9-4bcb-bbf2-9ec13feeaefa
19 FI 5	s.d. [1906-1936]	Bégard	_	9 X 14	Maison des associations, autrefois école communale des garçons.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	308cc241-72ab-4152-aaf7-dd042c384e76
19 FI 10	s.d. [1906-1936]	Bégard	_	9 X 14	Place du centre. Eglise Notre-Dame de Bégard.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	42a1b79f-3d24-466e-9972-4f1e2baa214b
19 FI 4	s.d. [1906-1936]	Bégard	_	9 X 14	Rue Anatole Le Braz.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	59d431f0-3113-41a5-bf13-eec98e4218ab
19 FI 11	s.d. [1906-1936]	Bégard	_	9 X 14	Chapelle de Guénézan.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	7ac88fae-24c3-43fc-a09c-45abdc6ee763
19 FI 12	s.d. [1906-1936]	Bégard	_	9 X 14	Menhir de Kerguézennec.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	7cc654ac-3f75-4bff-90fd-5316c7d52a94
19 FI 7	s.d. [1906-1936]	Bégard	_	9 X 14	Place du Centre. Centre hospitalier du Bon Sauveur, autrefois abbaye.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	8bed0ead-63bd-4d45-8a7e-e25f7d721564
19 FI 9	s.d. [1906-1936]	Bégard	_	9 X 14	Monument aux morts de la guerre 1914-1918.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	c230c61a-d518-4ad3-b17b-6a41a943b09f
19 FI 2	s.d. [1906-1936]	Bégard	_	9 X 14	Rue de l'hôtel de ville.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	d1e491da-b3fe-432c-acef-920cdaf8d5f1
19 FI 6	s.d. [1906-1936]	Bégard	_	9 X 14	Place de la République.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	ef4776ca-25f6-4364-917e-6a415803da04
19 FI 3	s.d. [1906-1936]	Bégard	_	9 X 14	Avenue Pierre Perron.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	f1e02db8-6e8d-4645-90bd-7e4d43e4a04a
19 FI 8	s.d. [1906-1936]	Bégard	_	9 X 14	"Centre hospitalier du Bon Sauveur; cour d'honneur."	48.633333	-3.3		Lacombe	Collection photographique Lacombe	febdae16-a483-4632-8168-74e56af4b100
26 FI 3	1948-1972	Belle-Ile-en-terre	_	24 x 18	L'église Saint-Jacques Le Majeur et le monument aux Morts (n° d'épreuve 16 797).	48.55	-3.4		Henrard	Collection Photographique Henrard	29c8a1d7-47b0-418c-8210-450eb3c30adc
26 FI 2	1948-1972	Belle-Ile-en-terre	_	24 x 18	Vue générale du bourg, de la Départementale 712 et de la rivière Le Guic (n° d'épreuve 16 796).	48.55	-3.4		Henrard	Collection Photographique Henrard	2fac83b7-2d14-48fe-b16c-77e37998c427
26 FI 1	1948-1972	Belle-Ile-en-terre	_	24 x 18	Vue générale du bourg (n° d'épreuve 16 795).	48.55	-3.4		Henrard	Collection Photographique Henrard	8e921292-4a07-4d03-819e-fa50bc77b3ec
39 FI 135	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	0082d85d-6777-42f9-8cc9-91cc73a13f18
39 FI 63	1907	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	00d516f3-9ae5-45cf-85db-0d5d082c850f
39 FI 88	[vers 1900]	Belle-Isle-en-Terre	_	6 X 13	Vue générale des Papeteries Vallée.	48.55	-3.4		vallee	Collection photographique Vallée	033379d2-68f4-42ca-9787-a08496ee8940
39 FI 104	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 10,5	Les Papeteries Vallée : l'entrée de l'usine.	48.55	-3.4		vallee	Collection photographique Vallée	04081477-dac3-4d60-9b42-46609ddf96e6
19 FI 16	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Rue du Guic.	48.55	-3.4		Lacombe	Collection photographique Lacombe	0620d8be-74bc-49f6-ad68-731c15e80e35
39 FI 81	[vers 1900]	Belle-Isle-en-Terre	_	8,5 X 9	Charles Vallée à la chasse.	48.55	-3.4		vallee	Collection photographique Vallée	084a2758-edde-4b94-8018-30f9d4557ab4
19 FI 13	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Vue générale de la ville.	48.55	-3.4		Lacombe	Collection photographique Lacombe	0a61a3d5-0afd-4de6-a5e1-3c87296423a1
39 FI 75	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Robert Boca en compagnie d'un caniche.	48.55	-3.4		vallee	Collection photographique Vallée	0bab155e-914b-4eb4-9a34-112630444374
39 FI 107	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Les Papeteries Vallée : les maisons ouvrières sur le site de l'usine.	48.55	-3.4		vallee	Collection photographique Vallée	0c2ebd2c-5299-4b00-90b5-f70e399d5ba7
39 FI 11	1907	Belle-Isle-en-Terre	_	6 X 13	Eglise Saint-Jacques le Majeur.	48.55	-3.4		vallee	Collection photographique Vallée	0d462189-67c6-49f1-aa36-87930ab8eefa
39 FI 95	1907	Belle-Isle-en-Terre	_	6 X 13	Les Papeteries Vallée : l'usine annexe.	48.55	-3.4		vallee	Collection photographique Vallée	1374d094-d3a8-4d45-b91a-c48a87d09b27
39 FI 12	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Eglise Saint-Jacques le Majeur.	48.55	-3.4		vallee	Collection photographique Vallée	14360998-cef5-4c8f-b6f4-968870c2a3f5
39 FI 55	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Papeteries Vallée : les maisons de la Direction.	48.55	-3.4		vallee	Collection photographique Vallée	1a1770ed-335e-422a-9530-425d12f6ec5e
39 FI 79	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 10	Famille Martin au bord du Léguer.	48.55	-3.4		vallee	Collection photographique Vallée	1a24389b-dfb6-4384-9ab5-35839add9066
39 FI 7	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	La ville et ses environs.	48.55	-3.4		vallee	Collection photographique Vallée	1a33e7fe-e826-4b3c-8349-03a3cdecd106
39 FI 71	[vers 1900]	Belle-Isle-en-Terre	_	6 X 13	Le caniche Mirza faisant le beau pour avoir un sucre.	48.55	-3.4		vallee	Collection photographique Vallée	1a908548-2ad8-4879-be72-16200fe80921
39 FI 82	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 9	Groupe d'hommes à la chasse.	48.55	-3.4		vallee	Collection photographique Vallée	1ab129f1-bbe9-4559-8676-8dc8a75df27b
19 FI 14	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Rue Eudon.	48.55	-3.4		Lacombe	Collection photographique Lacombe	1bc7361d-5f5c-4a9d-a2a3-df1e14bab24c
39 FI 102	[vers 1900]	Belle-Isle-en-Terre	_	6 X 13	les Papeteries Vallée : l'entrée de l'usine.	48.55	-3.4		vallee	Collection photographique Vallée	1cea351a-a5ef-421e-b56c-3febcc67778a
39 FI 18	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : la foule dans les rues.	48.55	-3.4		vallee	Collection photographique Vallée	1f5b9225-25fc-46eb-8bc4-948f74e2dd11
39 FI 45	1906	Belle-Isle-en-Terre	_	6 X 13	Les manoeuvres militaires : le 48e et le 71e régiment d'infanterie.	48.55	-3.4		vallee	Collection photographique Vallée	1f9d55f1-88e8-4540-af44-aa0e4505cdb8
19 FI 21	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Château de Coat-an-Noz.	48.55	-3.4		Lacombe	Collection photographique Lacombe	21b281d7-e362-4663-96b7-c6e2dc55044d
39 FI 138	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	238b5fef-5301-4a18-ae45-434ca1d0364b
39 FI 61	1907	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	23b596b1-b9ad-4893-a011-d0fb508ef407
39 FI 25	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : les jeux nautiques.	48.55	-3.4		vallee	Collection photographique Vallée	24c6cd11-0ddc-4a21-930d-b4830dd0e2f1
39 FI 174	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Sous-bois aux environs de Belle-Isle-en-Terre.	48.55	-3.4		vallee	Collection photographique Vallée	2516d90d-a659-49e1-91f8-181717e94ce4
39 FI 120	1904	Belle-Isle-en-Terre	_	6 X 13	Les Papeteries Vallée : enfants de la Direction jouant avec un chariot en bois.	48.55	-3.4		vallee	Collection photographique Vallée	265997ce-2875-4e5b-835d-5c7cad019deb
39 FI 57	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction.	48.55	-3.4		vallee	Collection photographique Vallée	26b29fc2-edf5-404f-ac9c-bcd47321d001
39 FI 97	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 10,5	Déversoir de Traou-Bruno.	48.55	-3.4		vallee	Collection photographique Vallée	27763a9b-451c-4ff3-83b7-c6b5dd2db0ff
39 FI 53	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Train aux environs de Belle-Isle	48.55	-3.4		vallee	Collection photographique Vallée	28ac4b2f-a3c6-46a8-b3cc-6f8dbe93092e
39 FI 83	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Couple sur les bords du Léguer.	48.55	-3.4		vallee	Collection photographique Vallée	2ef10f3a-f93d-423e-a569-22bac3e35809
39 FI 52	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Groupe d'hommes et de femmes se dirigeant vers une maison.	48.55	-3.4		vallee	Collection photographique Vallée	2fcd7c36-1dfa-48a5-a153-ce0b6716f3ea
39 FI 66	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Yves Vallée dans son jardin.	48.55	-3.4		vallee	Collection photographique Vallée	32798e42-821b-495f-824f-66d90538c985
39 FI 112	s.d. [1904-1906]	Belle-Isle-en-Terre	_	6 X 13	Les Papeteries Vallée : l'arrière de la chaufferie.	48.55	-3.4		vallee	Collection photographique Vallée	3478127f-64fc-413b-868e-660664f7fe24
39 FI 136	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	353b254e-4ef8-4f9d-9bb5-9972e4cfe82f
39 FI 139	1907	Belle-Isle-en-Terre	_	6 X 13	Rives du Léguer sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	356f7f79-62c4-4651-9dfa-8b840c60f7eb
39 FI 168	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Ferme aux environs de Belle-Isle-en-Terre.	48.55	-3.4		vallee	Collection photographique Vallée	35ca792b-d4a6-4824-b7a0-ad320700300c
39 FI 140	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois en aval des Papeteries Vallée.	48.55	-3.4		vallee	Collection photographique Vallée	3ae17cf0-c43e-45cb-a630-9bc3de5ca730
39 FI 101	1900	Belle-Isle-en-Terre	_	4,5 X 10,5	Travaux sur le déversoir de Traou-Bruno.	48.55	-3.4		vallee	Collection photographique Vallée	3ba47ba1-0e02-4833-95ac-179f77878d6a
39 FI 90	1907	Belle-Isle-en-Terre	_	6 X 13	Vue générale des Papeteries Vallée.	48.55	-3.4		vallee	Collection photographique Vallée	3cb8b15e-c246-4c0d-8d45-24c88d42cebb
39 FI 138	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	3dc413aa-c18b-4bc9-ade8-ac626d77f2f9
39 FI 123	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 9	Les foins sur des terres de la société Vallée.	48.55	-3.4		vallee	Collection photographique Vallée	3e77d895-c6ed-4e92-9267-de50a0372769
39 FI 142	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 9	Passerelle sur le Léguer.	48.55	-3.4		vallee	Collection photographique Vallée	3e9e80cb-cc8b-4a16-95b7-a30b32522da4
39 FI 4	[vers 1900]	Belle-Isle-en-Terre	_	6 X 13	Route de Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	3eaa73da-2780-42af-8c2f-df41e4b00bb0
39 FI 30	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : les luttes bretonnes.	48.55	-3.4		vallee	Collection photographique Vallée	3f4f0b7a-d9c9-4320-851e-433fa3020819
39 FI 134	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	407594fa-ba9a-49c3-976d-3c82306615b5
39 FI 31	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : les luttes bretonnes.	48.55	-3.4		vallee	Collection photographique Vallée	4078ae58-39c2-4c36-be72-9215505b5893
39 FI 65	1907	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction.	48.55	-3.4		vallee	Collection photographique Vallée	4568f979-7efb-4d61-8aa4-66e4e9f0de07
39 FI 51	1907	Belle-Isle-en-Terre	_	8,5 X 9	Foire aux cochons.	48.55	-3.4		vallee	Collection photographique Vallée	48067b28-5f8f-49b1-89a7-d436696a80f2
39 FI 76	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 10,5	Famille Martin à Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	4887885a-b008-4fbe-b367-fca727af4303
39 FI 3	[vers 1900]	Belle-Isle-en-Terre	_	9 X 8,5	Paysage des environs de Belle-Isle-en-Terre.	48.55	-3.4		vallee	Collection photographique Vallée	49bd43cf-095e-439d-8632-11be61b81c1a
19 FI 22	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Château de Coat-an-Noz.	48.55	-3.4		Lacombe	Collection photographique Lacombe	49e89aaf-bae9-4926-8163-53f63f53306c
39 FI 5	1907	Belle-Isle-en-Terre	_	6 X 13	Route de Loc-Maria sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	49f5832a-0741-4a66-a4f2-ef7a57c74ab3
39 FI 26	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : les jeux nautiques.	48.55	-3.4		vallee	Collection photographique Vallée	4b5988bd-e0d6-4296-8dbc-46ccc85ae6ce
39 FI 34	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 9	Fêtes de Belle-Isle : les stands.	48.55	-3.4		vallee	Collection photographique Vallée	4b5cc56b-c4bf-4d1f-b8ab-a2ce9d944b26
19 FI 19	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	"Maison ""La Cascade"", route de Trégrom."	48.55	-3.4		Lacombe	Collection photographique Lacombe	4b99bf0f-9227-4cc0-810e-7aee7132de50
39 FI 62	1907	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	4d99104d-2da5-4a50-a09c-407321243e4d
39 FI 64	1907	Belle-Isle-en-Terre	_	6 X 13	Papeteries Vallée : maison de la Direction sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	4dd6e46c-0da6-4fe8-a728-2095f08443a4
19 FI 18	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Moulin sur le Guer. Pont Malaben.	48.55	-3.4		Lacombe	Collection photographique Lacombe	4ff9f66e-bc90-4c5e-8add-b6af9debcd45
39 FI 147	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Le Léguer en aval de la Papeterie.	48.55	-3.4		vallee	Collection photographique Vallée	504de560-4804-4304-b87c-bcd0a9c2cf05
39 FI 128	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Battages sur des terres de la société Vallée : le manège à huit chevaux.	48.55	-3.4		vallee	Collection photographique Vallée	50c55714-6a1c-4990-b4d5-a8e45a12543c
39 FI 15	[vers 1906]	Belle-Isle-en-Terre	_	9 X 8,5	Déversoir sur le léguer à la sortie de la ville.	48.55	-3.4		vallee	Collection photographique Vallée	50eb91df-c072-453f-99ac-bd1e9dd6127b
39 FI 35	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Procession du 15 août sur la route de Loc-Maria.	48.55	-3.4		vallee	Collection photographique Vallée	52baa2b7-974f-4cfe-8018-6faf555da995
39 FI 175	[vers 1906]	Belle-Isle-en-Terre	_	8,5 X 9	Abattage d'un arbre aux environs de Belle-Isle-en-Terre.	48.55	-3.4		vallee	Collection photographique Vallée	58573676-7f5d-48c9-824c-ffd1caf76cf6
39 FI 109	s.d. [1904-1906]	Belle-Isle-en-Terre	_	8,5 X 9	Les Papeteries Vallée : sortie d'une équipe d'ouvrières.	48.55	-3.4		vallee	Collection photographique Vallée	586cab33-4db1-4ec2-aa45-515ae6da29ee
39 FI 9	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	La ville et ses environs.	48.55	-3.4		vallee	Collection photographique Vallée	58ae3b28-7b31-478b-992a-fc2ba151eb1a
39 FI 41	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Chapelle de Loc-Maria : le jubé.	48.55	-3.4		vallee	Collection photographique Vallée	596b8a06-7e0d-4e21-af69-8419542151e2
39 FI 130	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Lavandières.	48.55	-3.4		vallee	Collection photographique Vallée	5b1ffe0c-3722-4f75-b89f-2c920c283fa3
39 FI 139	1907	Belle-Isle-en-Terre	_	6 X 13	Rives du Léguer sous la neige.	48.55	-3.4		vallee	Collection photographique Vallée	5dae41c3-4209-40ff-bd04-c8e950b98f67
39 FI 105	[vers 1900]	Belle-Isle-en-Terre	_	8,5 X 9	Les Papeteries Vallée : membres de la Direction dans une automobile Léon Bollet à l'entrée de l'usine.	48.55	-3.4		vallee	Collection photographique Vallée	5ef61375-b678-4d9b-a9a0-9cabb25bfd66
39 FI 32	[vers 1906]	Belle-Isle-en-Terre	_	4,5 X 4,5	Fêtes de Belle-Isle : les luttes bretonnes.	48.55	-3.4		vallee	Collection photographique Vallée	5fcf4c64-42e0-44e6-aeb8-5496f32ce2c2
39 FI 68	[vers 1906]	Belle-Isle-en-Terre	_	6 X 13	Olivier Vallée portant la chienne Nadia.	48.55	-3.4		vallee	Collection photographique Vallée	600c85cc-6092-4ecb-a89e-f456b41b1250
19 FI 20	s.d. [1906-1936]	Belle-Isle-en-Terre	_	9 X 14	Halles, autrefois église.	48.55	-3.4		Lacombe	Collection photographique Lacombe	61d1384e-ee13-4185-9beb-05e994d44e98
39 FI 1	[vers 1900]	Belle-Isle-en-Terre	_	6 X 13	Vallée du Léguer aux environs de Belle-Isle-en-Terre.	48.55	-3.4		vallee	Collection photographique Vallée	64555d5b-dc3d-455d-b567-89a4b1a904cc
39 FI 141	1907	Belle-Isle-en-Terre	_	6 X 13	Sous-bois en aval des Papeteries Vallée.	48.55	-3.4		vallee	Collection photographique Vallée	657b5e21-89db-47d6-927a-0b00339efa40
